k,silhouette,davies_bouldin
2,0.2532620926229576,1.9711436675895524
3,0.1587079613648653,2.068299705391236
4,0.1448499613110336,2.090329210765577
5,0.1111177430847703,2.00195395640419
6,0.11996082287891106,1.9111931993090157
